Year;Country;Excess Mortality midpoint;Excess Mortality lower;Excess Mortality upper;Source
1846–52;Ireland;1,000,000;1,000,000;1,000,000;Ó Gráda (2007)
1860-1;India;2,000,000;2,000,000;2,000,000;Kumar and Raychaudhuri [Eds.] (1983)
1863-67;Cape Verde;30,000;30,000;30,000;Ó Gráda (2009), p. 22
1866-7;India;961,043;961,043;961,043;Kumar and Raychaudhuri [Eds.] (1983)
1868;Finland;100,000;100,000;100,000;Ó Gráda (2009) Table 1.1
1868-70;India;1,500,000;1,500,000;1,500,000;Imperial Gazetteer of India vol. III (1907),
1870–1871;Persia (now Iran);1,000,000;500,000;1,500,000;Okazaki (1986)
1876–79;Brazil;750,000;500,000;1,000,000;"WPF; Davis (2001)"
1876–79;India;7,176,346;6,135,000;8,217,692;Maharatna (1992). See also Ó Gráda (2009) Table 1.1
1877–79;China;11,000,000;9,000,000;13,000,000;"WPF; Ó Gráda (2009) Table 1.1"
1878-1880;USA (St. Lawreence Island Alaska);1,000;1,000;1,000;Crowell and Oozevaseuk (2006)
1885-99;Congo;3,000,000;3,000,000;3,000,000;WPF
1888-92;Sudan;2,000,000;2,000,000;2,000,000;WPF
1888-9;India;150,000;150,000;150,000;Kumar and Raychaudhuri [Eds.] (1983)
1888–1892;Ethiopia;1,000,000;1,000,000;1,000,000;WPF
1891–1892;Russia;275,000;275,000;275,000;WPF
1896-7;India;3,887,287;2,624,574;5,150,000;"Kumar and Raychaudhuri [Eds.] (1983); Maharatna (1992)"
1896-1900;Brazil;1,000,000;1,000,000;1,000,000;WPF
1897-1901;China;1,000,000;1,000,000;1,000,000;WPF
1899-1901;India;2,699,790;1,000,000;4,399,579;"WPF; Maharatna (1992)"
1899-1902;S Africa;42,000;42,000;42,000;WPF
1900-03;Cape Verde;15,500;11,000;20,000;"EM-DAT; Ó Gráda (2009), p. 22"
1903-06;Nigeria (Hausaland);5,000;5,000;5,000;Devereux (2000)
1904-07;Namibia;55,017;34;110,000;WPF
1906-07;Tanzania (south);118,750;37,500;200,000;"Devereux (2000); WPF"
1907-08;India;2,683,782;2,148,788;3,218,776;Maharatna (1992)
1910;Niger;85,000;85,000;85,000;EM-DAT
1913-14;West Africa (Sahel);125,000;125,000;125,000;"Devereux (2000); WPF"
1915-18;Greater Syria (including Lebanon);350,000;350,000;350,000;WPF
1915-16;Turkey (Armenians);400,000;400,000;400,000;WPF
1917-18;Germany;763,000;763,000;763,000;WPF
1917-19;Persia (now Iran);455,200;455,200;455,200;WPF
1917-19;East Africa;300,000;300,000;300,000;"WPF; see also Devereux (2000)."
1919;Armenia;200,000;200,000;200,000;WPF
1920-22;Cape Verde;24,500;24,000;25,000;"EM-DAT; Ó Gráda (2009), p. 22"
1920-21;China (Gansu, Shaanxi);500,000;500,000;500,000;Devereux (2000)
1921-22;USSR;9,000,000;9,000,000;9,000,000;"Devereux (2000); Ó Gráda (2009) Table 1.1"
1927;China (northwest);4,500,000;3,000,000;6,000,000;"Devereux (2000); Ó Gráda (2009) Table 1.1"
1929;China (Hunan);2,000,000;2,000,000;2,000,000;"Devereux (2000); Ó Gráda (2008)"
1930-31;Libya;50,000;50,000;50,000;WPF
1932-34;USSR (Ukraine);5,650,000;3,300,000;8,000,000;"Devereux (2000); WPF"
1932-34;USSR (Russia, Kazakhstan);1,500,000;1,500,000;1,500,000;WPF
1934, 1936-7;China (Sichuan);5,000,000;5,000,000;5,000,000;"WPF; Ó Gráda (2008)"
1940-43;Cape Verde;20,000;20,000;20,000;"EM-DAT; Ó Gráda (2009), p. 22"
1941-50;Europe/USSR (collection of WWII-related events);6,333,000;6,333,000;6,333,000;WPF
1941-45;East/Southeast Asia (collection of WWII-related events);5,444,000;5,444,000;5,444,000;WPF
1943;China (Henan);3,250,000;1,500,000;5,000,000;"Devereux (2000); WPF. See also Ó Gráda (2008)"
1943;India (Bengal);2,550,000;2,100,000;3,000,000;"Devereux (2000); WPF"
1943-44;Rwanda;300,000;300,000;300,000;Devereux (2000)
1944;Netherlands;10,000;10,000;10,000;Devereux (2000)
1946-48;Cape Verde;30,000;30,000;30,000;"EM-DAT; Ó Gráda (2009), p. 22"
1946-47;USSR (Ukraine and Belorussia);1,300,000;600,000;2,000,000;"Devereux (2000); WPF"
1957-58;Ethiopia (Tigray);248,500;100,000;397,000;"Devereux (2000); WPF"
1959-61;China;24,000,000;15,000,000;33,000,000;"Devereux (2000); Ó Gráda (2009) Table 1.1; WPF"
1966;Ethiopia (Wallo);52,500;45,000;60,000;Devereux (2000)
1962-68;Indonesia;67,700;-;135,400;van der Eng (2012)
1968-70;Nigeria (Biafra);750,000;500,000;1,000,000;"Devereux (2000); WPF; see Ó Gráda (2009) p.98"
1969-74;West Africa (Sahel);50,500;-;101,000;"Devereux (2000); WPF"
1972-73;India (Maharashtra);130,000;130,000;130,000;Devereux (2000)
1972-75;Ethiopia (Wallo & Tigray);350,000;200,000;500,000;"Devereux (2000); WPF"
1974-75;Somalia;20,000;20,000;20,000;Devereux (2000)
1974;Bangladesh;1,000,000;500,000;1,500,000;"Devereux (2000); Ó Gráda (2009) p. 98"
1979;Cambodia;1,605,000;1,210,000;2,000,000;"Devereux (2000); WPF; see Ó Gráda (2009) p.98"
1980;Chad;3,000;3,000;3,000;"EM-DAT; see also Iliffe (1987) p.253"
1980-81;Uganda;30,000;30,000;30,000;Devereux (2000)
1982-85;Mozambique;100,000;100,000;100,000;Devereux (2000)
1983-85;Ethiopia;795,000;590,000;1,000,000;"Devereux (2000); see WPF and Ó Gráda (2009) p.98"
1984-85;Sudan (Darfur, Kordofan);245,000;240,000;250,000;"Devereux (2000); WPF"
1988;Sudan (south);175,000;100,000;250,000;"Devereux (2000); WPF"
1991-93;Somalia;360,000;220,000;500,000;Devereux (2000), WPF
1995-99;North Korea;420,000;240,000;600,000;"WPF; see Devereux (2000) and Ó Gráda (2009) p.94"
1998;Sudan (Baht el Ghazal);85,000;70,000;100,000;"Devereux (2000); WPF"
1998-2007;Democratic Republic of Congo;3,131,500;863,000;5,400,000;"Coglan et al (2007); 2009/10 Human Security Report"
2002;Malawi;1,650;300;3,000;Devereux (2002)
2003-05;Sudan (Darfur);200,000;200,000;200,000;WPF
2003-06;Uganda;100,000;100,000;100,000;WPF
2011;Somalia;255,000;255,000;255,000;WPF
