SECTOR;Agent_Staffing;Apprehensions;Other_Than_Mexican_Apprehensions;Marijuana;Cocaine;Accepted_Prosecutions;Assaults;Rescues;Deaths
Miami;111;2280;1646;2253;231;292;1;;
New Orleans;63;920;528;21;6;10;0;;
Ramey;38;388;387;3;2932;89;0;;
Coastal Border Sectors Total;212;3588;2561;2277;3169;391;1;;
Blaine;296;288;237;0;0;9;0;;
Buffalo;277;447;293;228;2;37;2;;
Detroit;408;1070;322;124;0;85;1;;
Grand Forks;189;496;202;0;0;40;2;;
Havre;183;39;28;98;0;2;0;;
Houlton;173;30;30;17;0;2;0;;
Spokane;230;208;67;68;0;24;0;;
Swanton;292;449;359;531;1;103;6;;
Northern Border Sectors Total;2048;3027;1538;1066;3;302;11;;
Big Bend (formerly Marfa);500;6002;3346;40852;45;2847;11;26;1
Del Rio;1391;13476;6156;9482;62;8022;12;99;18
El Centro;870;18633;5812;5554;484;1413;34;4;2
El Paso;2182;25193;15337;34189;140;6996;54;44;8
Laredo;1666;25460;7891;69535;757;6119;31;1054;83
Rio Grande Valley (formerly McAllen);3130;137562;107909;260020;1192;7979;422;1190;104
San Diego;2199;26086;7060;10985;2903;3099;84;48;4
Tucson;3691;38657;12328;397090;331;20963;93;750;72
Yuma;859;12847;10139;30181;261;2367;33;6;2
Southwest Border Sectors Total**;16605;303916;175978;857888;6174;59805;774;3221;294
Nationwide Total***;19437;310531;180077;861231;9346;60498;786;3221;294
